External ID,Category,Item Name,Description,Variation Types,Variations,Barcode,Track Inventory,Prompt For Price,Unit Cost,Price,Sold by Weight/ Measure,Tax Category,Available for Sale  on POS,Available for Sale Online,Online Item Name,Package Cost,Units/Package,Primary Vendor,Units On Hand,Modified By 1,Modifier Group 1 External ID,Modified By 2,Modifier Group 2 External ID,Modified By 3,Modifier Group 3 External ID,Modified By 4,Modifier Group 4 External ID,Modified By 5,Modifier Group 5 External ID
2326408,Admission,2 years and younger,,,,,Y,N,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2293264,Admission,Fall Weekday,,,,,Y,N,,13.95,N,No tax,N,,,,1,,,,,,,,,,,,
2293265,Admission,Fall Weekend,"Friday, Saturday, Sunday",,,,Y,N,,18.95,N,No tax,N,,,,1,,,,,,,,,,,,
2331455,Admission,Flower Bouquet*,,,,,Y,N,,15,N,8%,Y,,,,1,,,,,,,,,,,,
2332095,Admission,"Flower Days, weekday",,,,,Y,N,,13.95,N,No tax,Y,,,,1,,,,,,,,,,,,
2332096,Admission,"Flower Days, weekend",,,,,Y,N,,18.95,N,No tax,Y,,,,1,,,,,,,,,,,,
2332097,Admission,Flower Mason Jar,,,,,Y,N,,25,N,8%,Y,,,,1,,,,,,,,,,,,
2326407,Admission,Grandparent (80+ years),,,,,Y,N,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2285552,Admission,Keyed Admission,,,,,Y,Y,,0,N,No tax,Y,,,,1,,,,,,,,,,,,
2284882,Admission,Lavender Bunch,,,,,Y,N,,10,N,8%,Y,,,,1,,,,,,,,,,,,
2325135,Admission,Lavender Mason Jar,,,,,Y,N,,25,N,8%,Y,,,,1,,,,,,,,,,,,
2325133,Admission,Lavender weekday,,,,,N,N,,13.95,N,No tax,N,,,,1,,,,,,,,,,,,
2325134,Admission,Lavender weekend,,,,,Y,N,,18.95,N,No tax,N,,,,1,,,,,,,,,,,,
2331327,Admission,Military Discount - Weekday,,,,,Y,N,,11.95,N,No tax,Y,,,,1,,,,,,,,,,,,
